epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2,lr
36,17.71327,5.5649,7.0994,10.0894,0.6703,0.5347,0.3434,0.2311,16.41826,5.2936,6.8612,10.6354,0.687,0.5714,0.3485,0.2294,7.50e-05
37,17.16441,5.4233,6.9163,9.8131,0.6871,0.5562,0.3575,0.2434,16.38947,5.2508,6.8373,10.7235,0.6892,0.5606,0.3506,0.2511,7.50e-05
38,17.10896,5.4237,6.9601,9.823,0.6831,0.553,0.3452,0.2352,15.90058,5.1389,6.6852,10.8645,0.7029,0.5649,0.3745,0.2684,3.75e-05
39,16.35321,5.2252,6.7431,9.529,0.7026,0.5749,0.3758,0.2667,15.59915,5.0618,6.6836,10.6039,0.703,0.6082,0.3918,0.2662,3.75e-05
40,16.4241,5.2613,6.7366,9.5449,0.7031,0.5626,0.3712,0.2598,15.66835,5.0563,6.7318,10.8723,0.6987,0.6039,0.3896,0.2727,3.75e-05
41,15.79836,5.1256,6.5976,9.2617,0.7153,0.5749,0.3781,0.263,15.62354,5.0874,6.6103,10.5997,0.7095,0.5736,0.3701,0.2403,3.75e-05
42,16.21517,5.2137,6.6132,9.4415,0.7139,0.5603,0.3676,0.2548,15.0661,4.9418,6.5779,10.502,0.7123,0.6147,0.3961,0.2684,3.75e-05
43,16.19642,5.2337,6.6955,9.4796,0.7067,0.5708,0.3639,0.2447,15.40446,5.024,6.6457,10.7075,0.7064,0.6061,0.3874,0.2597,3.75e-05
44,15.27696,5.0051,6.4778,9.108,0.7255,0.6014,0.384,0.2694,16.01272,5.2058,6.7264,10.886,0.6992,0.5801,0.3636,0.2403,3.75e-05
45,15.11949,4.9839,6.3764,9.0572,0.734,0.5941,0.3726,0.2575,15.73103,5.1138,6.6781,10.7068,0.7035,0.6061,0.3723,0.2554,1.87e-05
46,15.51086,5.0546,6.5107,9.1167,0.7227,0.5836,0.3799,0.2703,15.72131,5.1027,6.6876,10.6336,0.7026,0.5996,0.3658,0.2532,1.87e-05
47,15.16172,4.9803,6.4246,8.9995,0.73,0.5977,0.3927,0.2667,17.12663,5.4614,6.9662,11.0363,0.6774,0.5519,0.3268,0.2229,1.87e-05
48,15.63072,5.0943,6.4976,9.2146,0.7238,0.5785,0.3804,0.258,15.69208,5.1132,6.6656,10.6151,0.7046,0.6039,0.3658,0.2446,1.87e-05
49,14.88159,4.9115,6.3415,8.8231,0.7369,0.5991,0.4023,0.2767,15.37738,5.0028,6.6672,10.822,0.7045,0.619,0.4004,0.2684,1.87e-05
50,14.71902,4.8817,6.2632,8.761,0.7434,0.6068,0.4009,0.2689,15.35995,5.0138,6.6243,10.6888,0.7083,0.6147,0.3939,0.2706,1.87e-05
51,15.32058,5.0131,6.4152,8.9859,0.7308,0.5799,0.3776,0.268,15.25431,4.9792,6.6031,10.5388,0.7101,0.632,0.3918,0.2792,1.87e-05
52,15.12542,4.9856,6.379,8.9846,0.7338,0.5781,0.3817,0.274,15.7203,5.1147,6.6523,10.6053,0.7058,0.5952,0.3939,0.2273,9.37e-06
53,14.81402,4.9055,6.2778,8.8572,0.7422,0.6041,0.3959,0.2699,16.09053,5.2115,6.7433,10.708,0.6977,0.5736,0.3701,0.2294,9.37e-06
54,14.90926,4.9398,6.3673,8.8761,0.7348,0.6009,0.4046,0.2612,15.746,5.1114,6.669,10.6811,0.7043,0.5996,0.3939,0.2294,9.37e-06
55,14.51097,4.8553,6.2131,8.8026,0.7475,0.5936,0.3868,0.2726,15.82614,5.1433,6.6879,10.7579,0.7026,0.5974,0.381,0.2294,9.37e-06
56,14.76711,4.911,6.2478,8.8559,0.7446,0.5973,0.4014,0.2662,15.99308,5.1723,6.7158,10.8833,0.7001,0.5823,0.3658,0.2316,9.37e-06
57,14.76627,4.9006,6.2691,8.833,0.7429,0.6046,0.3986,0.2735,15.68945,5.0841,6.6668,10.6494,0.7045,0.5952,0.3723,0.2511,9.37e-06
58,15.35272,5.0247,6.4802,9.0219,0.7253,0.5909,0.3927,0.2667,15.40919,5.0075,6.6378,10.6971,0.7071,0.6299,0.3983,0.2857,9.37e-06
59,14.57257,4.8397,6.2282,8.7069,0.7463,0.6009,0.4046,0.279,16.18262,5.2248,6.7595,10.7891,0.6962,0.5671,0.3615,0.2273,4.69e-06
60,14.72419,4.8775,6.2738,8.7164,0.7425,0.6018,0.3982,0.2717,15.77239,5.1124,6.6946,10.6842,0.702,0.6017,0.3723,0.2597,4.69e-06
