epoch,train_loss,train_MAE,train_RMSE,train_MAPE,train_R2,train_Acc5,train_Acc3,train_Acc2,val_loss,val_MAE,val_RMSE,val_MAPE,val_R2,val_Acc5,val_Acc3,val_Acc2,lr
35,32.11515,8.5969,11.1118,18.9358,0.1923,0.3763,0.232,0.1594,174.57419,37.1854,170.8532,66.2658,-193.0769,0.4134,0.2706,0.1667,3.00e-04
36,34.20039,9.0492,11.4166,19.6879,0.1474,0.337,0.21,0.1516,179.26646,38.0832,213.3397,69.5039,-301.6013,0.4177,0.2771,0.1905,1.50e-04
37,32.95856,8.7966,11.1097,19.2434,0.1926,0.3416,0.2123,0.1434,111.75292,24.6329,122.0485,46.6599,-98.0357,0.4026,0.2035,0.1277,1.50e-04
38,31.32278,8.449,10.8514,18.7139,0.2297,0.3648,0.2247,0.1493,66.62664,15.5122,66.0799,31.7939,-28.0313,0.4156,0.2554,0.1623,1.50e-04
39,31.89657,8.5624,10.9649,18.9962,0.2135,0.3662,0.2233,0.1548,104.71929,23.0899,127.2052,45.0132,-106.5814,0.4459,0.303,0.2143,1.50e-04
40,31.67899,8.5413,10.8771,18.4828,0.2261,0.3644,0.2146,0.1388,70.92918,16.275,69.9864,31.6592,-31.5653,0.4351,0.3009,0.2165,1.50e-04
41,31.16585,8.42,10.8972,18.6522,0.2232,0.3808,0.2274,0.1466,41.27049,10.3397,46.3824,23.5348,-13.3032,0.4416,0.2814,0.2035,1.50e-04
42,31.99366,8.5877,10.9459,19.1456,0.2162,0.3685,0.2174,0.1511,67.82588,15.7435,67.0219,30.691,-28.8649,0.4091,0.2468,0.1645,1.50e-04
43,30.93396,8.3819,10.6878,18.2267,0.2528,0.3744,0.2201,0.1484,41.94642,10.5216,31.2823,22.631,-5.5062,0.4329,0.2641,0.1818,7.50e-05
44,30.91,8.3595,10.7016,18.4846,0.2508,0.3772,0.2338,0.1584,44.0265,10.9558,43.6466,23.7845,-11.6657,0.4091,0.2554,0.1732,7.50e-05
45,29.20924,7.9865,10.3905,17.8347,0.2938,0.4091,0.2584,0.1689,108.0976,23.7684,126.5169,44.7628,-105.4203,0.4329,0.29,0.21,7.50e-05
46,30.82994,8.341,10.6744,18.1888,0.2546,0.3703,0.2342,0.1566,33.043,8.7699,15.868,18.9038,-0.6741,0.3831,0.2338,0.1645,7.50e-05
47,29.03983,7.977,10.2087,17.4486,0.3183,0.3945,0.2347,0.1594,27.60095,7.5444,11.6948,17.8168,0.0907,0.4805,0.3182,0.2403,7.50e-05
48,29.50752,8.0748,10.3687,17.783,0.2967,0.3845,0.2324,0.1584,98.71634,21.9305,103.3348,42.0047,-69.9939,0.4048,0.2619,0.1753,7.50e-05
49,29.64234,8.0823,10.4569,17.8251,0.2847,0.3968,0.2548,0.1699,57.29174,13.6401,54.432,27.3561,-18.6986,0.4048,0.2468,0.1732,7.50e-05
50,29.5096,8.047,10.4307,17.7668,0.2883,0.4046,0.2589,0.1676,42.95951,10.7342,28.9084,22.3982,-4.5562,0.4156,0.2641,0.1775,7.50e-05
51,29.17698,7.9998,10.2663,17.7575,0.3105,0.3982,0.242,0.1676,35.63256,9.2708,27.1018,20.1374,-3.8834,0.3983,0.2835,0.1688,7.50e-05
52,28.57115,7.8352,10.1267,17.2207,0.3292,0.4142,0.2676,0.1849,38.93636,9.9403,35.7005,21.8053,-7.4738,0.4242,0.2641,0.1558,7.50e-05
53,28.88575,7.9357,10.2697,17.4517,0.3101,0.4073,0.2461,0.1648,133.01918,28.8398,145.9747,53.6854,-140.6714,0.4307,0.2554,0.1688,7.50e-05
54,28.98203,7.9366,10.2617,17.5815,0.3112,0.3945,0.2584,0.1763,51.48751,12.4457,47.0834,25.8703,-13.7388,0.4004,0.2662,0.184,3.75e-05
55,29.05684,7.9623,10.3062,17.6697,0.3052,0.3995,0.2511,0.1639,61.8084,14.5708,90.1243,29.9732,-53.0022,0.4113,0.2381,0.1537,3.75e-05
56,29.99125,8.1571,10.5334,18.0351,0.2742,0.39,0.242,0.1676,30.97477,8.2751,15.7821,18.5671,-0.656,0.4784,0.2987,0.2035,3.75e-05
57,29.25152,8.0044,10.2021,17.6781,0.3191,0.3886,0.2511,0.168,66.12048,15.3983,63.9513,31.2176,-26.191,0.4329,0.2597,0.1775,3.75e-05
58,28.21273,7.7842,10.0813,17.1931,0.3352,0.4169,0.2539,0.1671,63.8456,14.9305,71.697,29.4145,-33.1766,0.4437,0.2532,0.1753,3.75e-05
59,28.17272,7.7732,10.0378,17.1346,0.3409,0.4041,0.2562,0.1753,66.89385,15.5994,62.4182,30.4465,-24.903,0.3853,0.2511,0.1537,3.75e-05
60,27.71854,7.68,9.9528,16.948,0.352,0.4119,0.2589,0.1744,93.7152,20.964,120.8912,40.2323,-96.1666,0.4177,0.2511,0.1515,3.75e-05
